0 -2.34583e+08
1 -2.27633e+08
2 -2.23217e+08
3 -2.19823e+08
4 -2.17066e+08
5 -2.14745e+08
6 -2.12743e+08
7 -2.10983e+08
8 -2.09415e+08
9 -2.08e+08
10 -2.06713e+08
11 -2.05531e+08
12 -2.0444e+08
13 -2.03427e+08
14 -2.02482e+08
15 -2.01596e+08
16 -2.00762e+08
17 -1.99975e+08
18 -1.9923e+08
19 -1.98522e+08
20 -1.97849e+08
21 -1.97207e+08
22 -1.96593e+08
23 -1.96006e+08
24 -1.95442e+08
25 -1.949e+08
26 -1.94379e+08
27 -1.93877e+08
28 -1.93393e+08
29 -1.92925e+08
30 -1.92473e+08
31 -1.92035e+08
32 -1.91611e+08
33 -1.912e+08
34 -1.90801e+08
35 -1.90413e+08
36 -1.90037e+08
37 -1.8967e+08
38 -1.89313e+08
39 -1.88966e+08
40 -1.88627e+08
41 -1.88296e+08
42 -1.87974e+08
43 -1.87659e+08
44 -1.87351e+08
45 -1.87051e+08
46 -1.86757e+08
47 -1.86469e+08
48 -1.86187e+08
49 -1.85912e+08
50 -1.85642e+08
51 -1.85377e+08
52 -1.85118e+08
53 -1.84863e+08
54 -1.84613e+08
55 -1.84368e+08
56 -1.84128e+08
57 -1.83892e+08
58 -1.8366e+08
59 -1.83432e+08
60 -1.83208e+08
61 -1.82988e+08
62 -1.82771e+08
63 -1.82558e+08
64 -1.82349e+08
65 -1.82143e+08
66 -1.81939e+08
67 -1.8174e+08
68 -1.81543e+08
69 -1.81349e+08
70 -1.81158e+08
71 -1.8097e+08
72 -1.80784e+08
73 -1.80601e+08
74 -1.80421e+08
75 -1.80243e+08
76 -1.80068e+08
77 -1.79895e+08
78 -1.79724e+08
79 -1.79555e+08
80 -1.79389e+08
81 -1.79225e+08
82 -1.79063e+08
83 -1.78903e+08
84 -1.78745e+08
85 -1.78589e+08
86 -1.78435e+08
87 -1.78282e+08
88 -1.78132e+08
89 -1.77983e+08
90 -1.77836e+08
91 -1.77691e+08
92 -1.77547e+08
93 -1.77405e+08
94 -1.77264e+08
95 -1.77125e+08
96 -1.76988e+08
97 -1.76852e+08
98 -1.76718e+08
99 -1.76584e+08
